Address,link,price,beds,baths,sqft,view_yn,yr_built,cooling_yn,has_hoa,senior_community_yn,style,county,new_construction_yn
4965 SW Park Bluff Pl,https://www.redfin.com/OR/Lake-Oswego/4965-Park-Bluff-Pl-97035/home/183781964,2099000,5,4.5,4568,Yes,2022,Yes,Yes,No,Single Family Residential,Clackamas County,Yes
3569 Sunwood Ct,https://www.redfin.com/OR/Lake-Oswego/3569-Sunwood-Ct-97035/home/26080164,700000,3,1.5,1350,No,1966,No,No,No,Single Family Residential,Clackamas County,No
5225 Firwood Rd,https://www.redfin.com/OR/Lake-Oswego/5225-Firwood-Rd-97035/home/25995645,1550000,3,2.5,3240,Yes,1936,Yes,No,No,Single Family Residential,Clackamas County,No
3119 Douglas Cir,https://www.redfin.com/OR/Lake-Oswego/3119-Douglas-Cir-97035/home/26031594,2675000,4,6,6524,Yes,1940,Yes,No,No,Single Family Residential,Clackamas County,No
6338 Washington Ct,https://www.redfin.com/OR/Lake-Oswego/6338-Washington-Ct-97035/home/25845395,800000,2,1.5,1588,Yes,1958,Yes,No,No,Single Family Residential,Clackamas County,No
4672 Winthrop Ct,https://www.redfin.com/OR/Lake-Oswego/4672-Winthrop-Ct-97035/home/25833476,1790000,5,3.5,4161,No,2020,Yes,Yes,No,Single Family Residential,Clackamas County,No
16900 Gassner Ln,https://www.redfin.com/OR/Lake-Oswego/16900-Gassner-Ln-97035/home/26079578,1622500,4,3.5,3953,No,1973,Yes,No,No,Single Family Residential,Clackamas County,No
47 Eagle Crest Dr #4,https://www.redfin.com/OR/Lake-Oswego/47-Eagle-Crest-Dr-97035/unit-4/home/26653782,270000,2,1,932,Yes,1979,No,Yes,No,Condo/Co-op,Multnomah County,No
4968 Bilford Ln,https://www.redfin.com/OR/Lake-Oswego/4968-Bilford-Ln-97035/home/26024417,1050000,3,2.5,2365,No,1994,Yes,Yes,No,Single Family Residential,Clackamas County,No
15988 White Oaks Dr,https://www.redfin.com/OR/Lake-Oswego/15988-White-Oaks-Dr-97035/home/26038327,1109000,4,2.5,2761,Yes,1988,Yes,Yes,No,Single Family Residential,Clackamas County,No
12 Cervantes Cir Unit 7A,https://www.redfin.com/OR/Lake-Oswego/12-Cervantes-Cir-97035/unit-7A/home/26633869,261249,2,1.5,912,No,1980,No,No,No,Condo/Co-op,Multnomah County,No
206 Oswego Summit Bld25,https://www.redfin.com/OR/Lake-Oswego/206-Oswego-Smt-97035/unit-25/home/25795130,420000,2,2,1550,Yes,1981,Yes,Yes,No,Condo/Co-op,Multnomah County,No
4513 Oakridge Rd,https://www.redfin.com/OR/Lake-Oswego/4513-Oakridge-Rd-97035/home/26093610,775000,3,2.5,1974,Yes,2011,Yes,Yes,No,Single Family Residential,Clackamas County,No
4511 Oakridge Rd,https://www.redfin.com/OR/Lake-Oswego/4511-Oakridge-Rd-97035/home/26093609,875000,3,2.5,2129,Yes,2011,Yes,Yes,No,Single Family Residential,Clackamas County,No
48 Eagle Crest Dr Unit 4E,https://www.redfin.com/OR/Lake-Oswego/48-Eagle-Crest-Dr-97035/unit-4E/home/25736509,365000,2,2,1489,Yes,1979,No,Yes,No,Condo/Co-op,Multnomah County,No
19250 SW Maree Ct,https://www.redfin.com/OR/Lake-Oswego/19250-Maree-Ct-97035/home/25770405,699030,3,2.5,1519,No,1975,Yes,No,No,Single Family Residential,Clackamas County,No
14309 Edenberry Dr,https://www.redfin.com/OR/Lake-Oswego/14309-Edenberry-Dr-97035/home/26031555,1150000,5,2.5,3011,No,1988,Yes,Yes,No,Single Family Residential,Clackamas County,No
18572 Longfellow Ave,https://www.redfin.com/OR/Lake-Oswego/18572-Longfellow-Ave-97035/home/25980335,600000,3,2,1611,Yes,1967,Yes,No,No,Single Family Residential,Clackamas County,No
60 Condolea Ter,https://www.redfin.com/OR/Lake-Oswego/60-Condolea-Ter-97035/home/26473890,391610,2,3,2784,Yes,1972,No,Yes,Yes,Condo/Co-op,Multnomah County,No
44 Eagle Crest Dr #28,https://www.redfin.com/OR/Lake-Oswego/44-Eagle-Crest-Dr-97035/unit-28/home/25857556,300000,3,2,1085,Yes,1979,Yes,Yes,No,Condo/Co-op,Multnomah County,No
44 Eagle Crest Dr #21,https://www.redfin.com/OR/Lake-Oswego/44-Eagle-Crest-Dr-97035/unit-21/home/25841434,220000,1,1,798,Yes,1979,No,Yes,No,Condo/Co-op,Multnomah County,No
3962 Carman Dr,https://www.redfin.com/OR/Lake-Oswego/3962-Carman-Dr-97035/home/25750466,368000,2,2.5,1129,Yes,1997,No,Yes,No,Condo/Co-op,Clackamas County,No
4 Touchstone #103,https://www.redfin.com/OR/Lake-Oswego/4-Touchstone-97035/unit-103/home/26043633,287500,3,2.5,1351,Yes,1970,No,Yes,No,Condo/Co-op,Clackamas County,No
3485 Upper Dr,https://www.redfin.com/OR/Lake-Oswego/3485-Upper-Dr-97035/home/26078484,1500000,4,2.5,3334,Yes,2006,Yes,No,No,Single Family Residential,Clackamas County,No
2736 SW Sylvania Ter,https://www.redfin.com/OR/Portland/2736-SW-Sylvania-Ter-97219/home/26331980,612720,3,2,1918,No,1958,No,No,No,Single Family Residential,Multnomah County,No
8 Pimlico Ter,https://www.redfin.com/OR/Lake-Oswego/8-Pimlico-Ter-97035/home/26016247,949000,5,3,3120,Yes,1969,Yes,Yes,No,Single Family Residential,Clackamas County,No
3434 Lakeview Blvd,https://www.redfin.com/OR/Lake-Oswego/3434-Lakeview-Blvd-97035/home/25908660,6300000,5,6.5,7656,Yes,2003,Yes,Yes,No,Single Family Residential,Clackamas County,No
2855 Brookside Rd,https://www.redfin.com/OR/Lake-Oswego/2855-Brookside-Rd-97035/home/26067983,1575000,4,2.5,4046,Yes,1978,Yes,No,No,Single Family Residential,Clackamas County,No
205 Cervantes,https://www.redfin.com/OR/Lake-Oswego/205-Cervantes-97035/home/25737808,327000,2,1.5,1216,Yes,1981,Yes,Yes,No,Condo/Co-op,Multnomah County,No
18850 Reao Ct,https://www.redfin.com/OR/Lake-Oswego/18850-Reao-Ct-97035/home/110152331,1850000,4,3.5,3512,No,2021,Yes,No,No,Single Family Residential,Clackamas County,No
54 Aquinas St,https://www.redfin.com/OR/Lake-Oswego/54-Aquinas-St-97035/home/26659465,850000,4,2.5,2774,Yes,1982,Yes,Yes,No,Single Family Residential,Multnomah County,No
4587 Trillium Woods,https://www.redfin.com/OR/Lake-Oswego/4587-Trillium-Woods-97035/home/26093586,950000,3,2.5,2278,Yes,2011,Yes,Yes,No,Single Family Residential,Clackamas County,No
