,link,price,beds,baths,sqft,parking_features,parking_total,garage_type,garage_spaces,hot_water_desc,fireplace_yn,fireplace_total,basement,roof,lot_size_sqft,lot_size,property_type,main_level_area,view_yn,yr_built,fuel_desc,sewer,cooling_yn,has_hoa,senior_community_yn,stories,style,yr_renovated,county,new_construction_yn
4965 SW Park Bluff Pl,https://www.redfin.com/OR/Lake-Oswego/4965-Park-Bluff-Pl-97035/home/183781964,"$2,099,000",5,4.5,"4,568","Driveway, On Street",2,Attached,2,Gas,Yes,1,Daylight,Composition,"7,405","7,484 square feet",Residential,"2,367",Yes,2022,Gas,Public Sewer,Yes,Yes,No,—,Single Family Residential,—,Clackamas County,Yes
3569 Sunwood Ct,https://www.redfin.com/OR/Lake-Oswego/3569-Sunwood-Ct-97035/home/26080164,"$700,000",3,1.5,"1,350","Driveway, Off Street",2,"Attached, Oversized",2,Gas,Yes,1,Crawl Space,Composition,"11,761",0.27 acres,Residential,"1,350",No,1966,Gas,Public Sewer,No,,No,1.0,Single Family Residential,—,Clackamas County,No
5225 Firwood Rd,https://www.redfin.com/OR/Lake-Oswego/5225-Firwood-Rd-97035/home/25995645,"$1,550,000",3,2.5,"3,240","Driveway, RV Access/Parking",2,"Attached, Extra Deep, Oversized",2,Gas,Yes,1,Crawl Space,Composition,"20,908",0.48 acres,Residential,"2,640",Yes,1936,Gas,Septic Tank,Yes,,No,1.0,Single Family Residential,—,Clackamas County,No
38 Cervantes Cir,https://www.redfin.com/OR/Lake-Oswego/38-Cervantes-Cir-97035/home/143114291,"$293,000",2,1.5,912,Off Street,1,Other,1,Electricity,,,Crawl Space,Tile,,—,Residential,456,Yes,—,Electricity,"All Landscaping, Athletic Court, Basketball Court, Commons, Exterior Maintenance, Front Yard Landscaping, Gym, Insurance, Lap Pool, Maintenance Grounds, Management, Meeting Room, Party Room, Recreation Facilities, Road Maintenance, Sauna, Sewer, Spa/Hot Tub, Tennis Court(s), Trash, Water, Weight Room",No,Yes,No,—,Condo/Co-op,—,Multnomah County,No
3119 Douglas Cir,https://www.redfin.com/OR/Lake-Oswego/3119-Douglas-Cir-97035/home/26031594,"$2,675,000",4,6,"6,524",RV Access/Parking,14,"Attached, Detached, Oversized",14,Gas,Yes,3,"Partial Basement, Partially Finished, Storage Space",Shake,"47,480",1.09 acres,Residential,"2,743",Yes,1940,"Electricity, Gas",Public Sewer,Yes,,No,2.0,Single Family Residential,—,Clackamas County,No
6338 Washington Ct,https://www.redfin.com/OR/Lake-Oswego/6338-Washington-Ct-97035/home/25845395,"$800,000",2,1.5,"1,588","Driveway, RV Access/Parking",5,"Detached, Oversized",5,Gas,,,Crawl Space,Metal,,"9,584 square feet",Residential,"1,588",Yes,1958,Gas,Septic Tank,Yes,,No,1.0,Single Family Residential,—,Clackamas County,No
4672 Winthrop Ct,https://www.redfin.com/OR/Lake-Oswego/4672-Winthrop-Ct-97035/home/25833476,"$1,790,000",5,3.5,"4,161",Driveway,2,Attached,2,Gas,,,,Composition,"9,147","8,937 square feet",Residential,"2,081",No,2020,Gas,Public Sewer,Yes,Yes,No,1.0,Single Family Residential,—,Clackamas County,No
16900 Gassner Ln,https://www.redfin.com/OR/Lake-Oswego/16900-Gassner-Ln-97035/home/26079578,"$1,622,500",4,3.5,"3,953","Driveway, RV Access/Parking",2,Attached,2,Gas,Yes,2,Separate Living Quarters/Apartment/Aux Living Unit,Composition,,0.4 acres,Residential,"1,963",No,1973,Gas,Septic Tank,Yes,,No,1.0,Single Family Residential,—,Clackamas County,No
47 Eagle Crest Dr #4,https://www.redfin.com/OR/Lake-Oswego/47-Eagle-Crest-Dr-97035/unit-4/home/26653782,"$270,000",2,1,932,Off Street,,Other,,Electricity,,,,,,—,Residential,932,Yes,1979,Electricity,"Athletic Court, Basketball Court, Commons, Exterior Maintenance, Gym, Lap Pool, Management, Meeting Room, Pool, Sewer, Spa/Hot Tub, Trash, Water, Weight Room",No,Yes,No,1.0,Condo/Co-op,1979,Multnomah County,No
4968 Bilford Ln,https://www.redfin.com/OR/Lake-Oswego/4968-Bilford-Ln-97035/home/26024417,"$1,050,000",3,2.5,"2,365",,2,Attached,2,Gas,Yes,2,Crawl Space,Composition,,"7,499 square feet",Residential,"1,748",No,1994,Gas,Public Sewer,Yes,Yes,No,1.0,Single Family Residential,—,Clackamas County,No
