,link,price,beds,baths,sqft,parking_total,garage_type,garage_spaces,hot_water_desc,fireplace_yn,fireplace_total,basement,roof,lot_size,property_type,main_level_area,view_yn,yr_built,fuel_desc,sewer,cooling_yn,senior_community_yn,stories,style,yr_renovated,county,new_construction_yn,parking_features,has_hoa,lot_size_sqft
4535 SW Saum Way,https://www.redfin.com/OR/Tualatin/4535-SW-Saum-Way-97062/home/25979387,"$760,000",4,3,"2,977",3,Attached,3,Gas,Yes,1,Crawl Space,Composition,"10,240 square feet",Residential,"2,005",No,1992,Gas,Public Sewer,No,No,1.0,Single Family Residential,—,Clackamas County,No,,,
23570 SW Vermillion Dr Unit H170,https://www.redfin.com/OR/Tualatin/23570-SW-Vermillion-Dr-97062/unit-H170/home/193204949,"$525,400",3,2.5,"1,781",2,Attached,2,"Gas, Tankless",Yes,1,Crawl Space,Composition,—,Residential,694,No,—,Gas,Public Sewer,Yes,No,—,Single Family Residential,—,Washington County,Yes,Driveway,Yes,
8849 SW Vermillion Dr,https://www.redfin.com/OR/Tualatin/8849-SW-Vermillion-Dr-97062/home/193362986,"$599,900",4,2.5,"2,288",2,Attached,2,Tankless,Yes,1,Crawl Space,Composition,—,Residential,"1,029",No,—,Gas,Public Sewer,No,No,—,Single Family Residential,—,Washington County,Yes,Driveway,Yes,
8824 SW Talawa Dr,https://www.redfin.com/OR/Tualatin/8824-SW-Talawa-Dr-97062/home/26705762,"$645,000",3,2.5,"2,052",2,"Attached, Extra Deep",2,Electricity,Yes,2,Daylight,Composition,"10,019 square feet",Residential,"1,362",No,1978,Electricity,Public Sewer,Yes,No,—,Single Family Residential,1978,Washington County,No,Driveway,,"10,018"
5105 SW Greenwood Cir,https://www.redfin.com/OR/Tualatin/5105-SW-Greenwood-Cir-97062/home/26022197,"$745,000",4,2.5,"2,558",2,Attached,2,Gas,Yes,1,Crawl Space,Shake,"8,086 square feet",Residential,"1,315",No,1989,Gas,Public Sewer,Yes,No,2.0,Single Family Residential,—,Clackamas County,No,"Driveway, On Street",,"8,276"
23410 SW Vermillion Dr Unit H114,https://www.redfin.com/OR/Tualatin/23410-SW-Vermillion-Dr-97062/unit-H114/home/194061711,"$448,400",3,2.5,"1,722",2,Attached,2,"Gas, Tankless",Yes,1,Crawl Space,Composition,—,Residential,662,Yes,—,Gas,Public Sewer,Yes,No,—,Townhouse,—,Washington County,Yes,,Yes,
22305 SW Taylors Dr,https://www.redfin.com/OR/Tualatin/22305-SW-Taylors-Dr-97062/home/25787556,"$666,888",3,2.5,"2,504",3,"Attached, Oversized, Tandem",3,Gas,Yes,2,Crawl Space,Composition,"7,841 square feet",Residential,"1,372",No,1996,Gas,Public Sewer,Yes,No,—,Single Family Residential,1996,Washington County,No,"Driveway, On Street",,"7,840"
7007 SW Robbins Rd,https://www.redfin.com/OR/Tualatin/7007-SW-Robbins-Rd-97062/home/26558224,"$850,000",3,2,"1,418",1,Attached,1,Electricity,Yes,1,"Crawl Space, Exterior Entry, Storage Space",Composition,3.75 acres,Residential,"1,418",Yes,1995,Gas,Septic Tank,Yes,No,—,Single Family Residential,—,Washington County,No,"Driveway, RV Access/Parking",,"163,350"
22269 SW Oak Hill Ln,https://www.redfin.com/OR/Tualatin/22269-SW-Oak-Hill-Ln-97062/home/180506423,"$1,650,000",5,3.5,"5,280",2,Attached,2,"Electricity, Gas",Yes,2,,Composition,6.13 acres,Residential,"3,601",Yes,—,"Electricity, Gas","Septic Tank, Standard Septic",Yes,No,—,Vacant Land,—,Clackamas County,Yes,"Driveway, Off Street",,"267,022"
23590 SW Vermillion Dr,https://www.redfin.com/OR/Tualatin/23590-SW-Vermillion-Dr-97062/home/192897088,"$551,400",3,2.5,"1,987",2,Attached,2,Tankless,Yes,1,Crawl Space,Composition,—,Residential,768,No,—,Gas,Public Sewer,Yes,No,—,Single Family Residential,—,Washington County,Yes,Driveway,Yes,
